Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
12/25/2020 ,Ghorasal TPP (Unit-1&2),Gas,PDB,2*55,110,85,0,0,0,0,,85,"Unit-1,2 Under maint",
12/25/2020 ,Ghorasal Repowered CCPP Unit-3,Gas,PDB,1*210,210,170,77,93,93,80,,90,Gas shortage,
12/25/2020 ,Ghorasal Repowered CCPP Unit-4,Gas,PDB,1*210,210,180,0,0,0,0,180,,Under maint.,
12/25/2020 ,Ghorasal TPP Unit-5,Gas,PDB,1*210,210,190,0,0,0,0,190,,Under maint.,
12/25/2020 ,Ghorasal 365 MW CCPP Unit-7,Gas,PDB,1*243+1*122,365,365,330,280,300,300,65,,Gas shortage,
12/25/2020 ,Ghorashal 78.5 MW PP(MAX),Gas,QRPP,2*40,78,78,0,0,0,0,78,,Gas shortage,
12/25/2020 ,Ghorashal 108MW PP (Regent),Gas,IPP,34*3.35,108,108,12,12,108,108,,,,
12/25/2020 ,Haripur GTPP,Gas,"SBU, PDB",2*32,32,20,0,0,0,0,,20,Under maint.,
12/25/2020 ,Haripur  412 MW CCPP,Gas,EGCB,1*273+1*139,412,412,361,386,412,412,,,FGMO,
12/25/2020 ,Haripur 360MW CCPP(HPL),Gas,IPP,1*235+1*125,360,360,261,242,300,300,60,,Gas shortage,
12/25/2020 ,Meghnaghat 450 MW CCPP(MPL),Gas,IPP,2*150+1*150,450,450,225,225,225,225,225,,GT-1 shut down for Gas shortage,
12/25/2020 ,Meghnaghat 100 MW(IEL),HFO,QRPP,12*8.9,100,100,7,75,100,100,,,,
12/25/2020 ,Meghnaghat CCPP(Summit),Gas,IPP,2*110+1*110,305,305,0,0,0,0,305,,Gas shortage,
12/25/2020 ,Madanganj 102 PP(Summit),HFO,QRPP ,6*17,102,100,2,64,100,100,,,,
12/25/2020 ,Madanganj-55 MW PP(Summit),HFO,(IPP),3*17.08+1*11.3,55,55,8,46,55,55,,,,
12/25/2020 ,Keraniganj 100 MW PP (Powerpac),HFO,QRPP,8*13.45,100,100,69,86,85,85,,15,Engine problem,
12/25/2020 ,Narshingdi 22 MW PP  (Doreen),Gas,"SIPP, REB",8*2.90,22,22,0,0,16,16,,6,Engine problem,
12/25/2020 ,210 MW Siddhirgonj TPP,Gas,PDB, 1*210,210,115,0,0,0,0,,115,Under maint.,
12/25/2020 ,Siddhirgonj 2*120 MW GTPP ,Gas,EGCB, 2*105,210,210,0,0,0,0,210,,Gas shortage,
12/25/2020 ,Siddhirganj 100 PP(Dutch Bangla),HFO,QRPP ,12*8.9,100,100,8,100,100,100,,,,
12/25/2020 ,Siddhirganj 335 MW CCPP,Gas,EGCB,1*217+118,335,335,0,0,0,0,,335,Under maint,
12/25/2020 ,Gagnagar 102 MW PP (Digital Power),HFO,IPP,12*8.924,102,102,0,7,100,100,,,,
12/25/2020 ,Katpotti 52 MW PP (Sinha),HFO,IPP,7*7.9,51,51,0,0,50,50,,,,
12/25/2020 ,Kamalaghat 54 MW PP(Banco Energy),HFO,IPP,3*18,54,54,54,54,54,54,,,,
12/25/2020 ,Kodda 150MW PP,HFO,BPDB-RPCL,9*17.06,149,149,32,150,150,150,,,,
12/25/2020 ,Manikganj 55 MW PP (Northern),HFO,IPP,3*19.3,55,55,55,55,55,55,,,,
12/25/2020 ,Nababganj 55 MW PP (Southern power ),HFO,IPP,3*19.3,55,55,0,35,55,55,,,,
